INSTANCE | STATUS | UB | LB | TIME-TO-BEST | DURATION | PEAK-MEMORY
10items/334 | Unfinished | 44529 | 44210.06055 | 463.937 | 608.611 | 0.1539412914
10items/335 | Unfinished | 24798 | 24289.72686 | 563.398 | 605.949 | 0.04209825303
10items/336 | Unfinished | 26165 | 25828.76066 | 568.088 | 600.108 | 0.04027003795
10items/337 | Unfinished | 22247 | 22058.8886 | 202.945 | 600.918 | 0.03836001363
10items/338 | Unfinished | 31698 | 31476.16351 | 474.689 | 603.922 | 0.04032615852
10items/339 | Unfinished | 37011 | 36907.25609 | 446.322 | 600.138 | 0.03353910986
10items/340 | Unfinished | 31296 | 31164.71242 | 385.342 | 601.869 | 0.4842691235
10items/341 | Unfinished | 33090 | 32990.89284 | 72.36 | 600.783 | 0.05297812913
10items/342 | Unfinished | 35608 | 34312.13735 | 562.157 | 600.519 | 0.04086996987
10items/343 | Unfinished | 34597 | 34036.65527 | 442.183 | 600.644 | 0.03580878861
10items/344 | Unfinished | 38615 | 37846.96836 | 276.757 | 601.607 | 0.04826346692
10items/345 | Unfinished | 27372 | 27112.3526 | 567.668 | 602.042 | 0.1297325138
10items/346 | Unfinished | 29374 | 29304.83438 | 536.009 | 601.139 | 0.07565947808
10items/348 | Unfinished | 30712 | 30478.5528 | 523.116 | 600.397 | 0.0371764442
10items/347 | Unfinished | 33254 | 32986.63474 | 489.637 | 601.766 | 0.2493580393
10items/349 | Unfinished | 38929 | 38494.90373 | 530.205 | 603.956 | 0.1559171863
10items/350 | Unfinished | 29227 | 29096.95024 | 449.315 | 611.833 | 0.171503189
10items/374 | Optimum found | 30183 | 30179.98292 | 325.807 | 326.877 | 0.01378974598
10items/351 | Unfinished | 34330 | 34207.72623 | 446.739 | 601.137 | 0.2612808226
10items/353 | Unfinished | 48100 | 47730.00524 | 499.425 | 603.55 | 0.03695202339
10items/355 | Optimum found | 30404 | 30403.96997 | 482.167 | 567.418 | 0.013796499
10items/366 | Optimum found | 26266 | 26265.97417 | 480.099 | 504.336 | 0.014934415
10items/354 | Unfinished | 37403 | 36855.73553 | 157.149 | 600.154 | 0.02827068418
10items/356 | Unfinished | 27493 | 27176.96686 | 576.943 | 600.926 | 0.1183295837
10items/358 | Unfinished | 26072 | 25797.30358 | 450.695 | 600.135 | 0.03534239158
10items/359 | Unfinished | 27731 | 27401.43424 | 498.629 | 600.266 | 0.03489475138
10items/360 | Unfinished | 29719 | 29531.13924 | 531.723 | 602.422 | 0.03876394127
10items/361 | Optimum found | 30773 | 30770.3467 | 566.663 | 596.213 | 0.01512843557
10items/362 | Unfinished | 19131 | 18814.52693 | 596.76 | 600.15 | 0.03806493338
10items/364 | Unfinished | 35774 | 35530.50083 | 485.798 | 601.574 | 0.0533878915
10items/363 | Unfinished | 33459 | 33167.46669 | 547.673 | 602.411 | 0.03752757609
10items/365 | Unfinished | 29620 | 29500.21462 | 598.261 | 604.874 | 0.1198396869
10items/367 | Unfinished | 44774 | 43797.59978 | 513.187 | 602.693 | 0.04392385669
10items/388 | Optimum found | 23609 | 23608.97682 | 180.766 | 181.931 | 0.01488384418
10items/368 | Unfinished | 37130 | 36815.63019 | 519.985 | 601.159 | 0.03966297116
10items/369 | Unfinished | 32291 | 31818.62715 | 491.943 | 600.561 | 0.04500289913
