
10items/091 | Optimum found | 10530 | 10530 | 2.464 | 2.466 | 0.01190544572
10items/051 | Optimum found | 10888 | 10887.98913 | 9.39 | 10.148 | 0.01370981056
10items/087 | Optimum found | 21170 | 21170 | 3.662 | 3.665 | 0.0121446969
10items/005 | Optimum found | 15026 | 15025.98499 | 9.694 | 15.025 | 0.01377637964
10items/089 | Optimum found | 14163 | 14163 | 3.558 | 3.562 | 0.0137470793
10items/049 | Optimum found | 17353 | 17352.98267 | 11.062 | 11.655 | 0.01419264264
10items/072 | Optimum found | 14373 | 14372.98564 | 6.899 | 7.669 | 0.01368432678
10items/083 | Optimum found | 15603 | 15602.98441 | 5.403 | 5.792 | 0.01387004741
10items/071 | Optimum found | 15800 | 15799.98422 | 6.592 | 8.227 | 0.01310246252
10items/095 | Optimum found | 9369 | 9369 | 4.621 | 4.623 | 0.01218019892
10items/084 | Optimum found | 15586 | 15585.98444 | 6.22 | 6.424 | 0.01381198782
10items/081 | Optimum found | 13165 | 13164.98684 | 6.07 | 6.918 | 0.01384524722
10items/092 | Optimum found | 10353 | 10352.98966 | 4.971 | 4.991 | 0.01362606511
10items/096 | Optimum found | 11596 | 11595.98842 | 3.883 | 4.538 | 0.01349870674
10items/077 | Optimum found | 11829 | 11828.99952 | 8.252 | 8.257 | 0.01353775803
10items/075 | Optimum found | 9904 | 9903.990123 | 8.672 | 8.736 | 0.01378309447
10items/097 | Optimum found | 14786 | 14785.98524 | 4.013 | 4.587 | 0.01394217554
10items/100 | Optimum found | 15395 | 15394.98464 | 4.051 | 4.061 | 0.01389777754
10items/088 | Optimum found | 10997 | 10996.98902 | 6.911 | 6.944 | 0.01383195259
10items/070 | Optimum found | 17418 | 17417.9826 | 6.92 | 10.374 | 0.01389098074
10items/044 | Optimum found | 12704 | 12703.98734 | 10.145 | 14.957 | 0.01526793651
10items/053 | Optimum found | 7757 | 7756.992269 | 10.557 | 14.245 | 0.01366939582
10items/085 | Optimum found | 9848 | 9847.990173 | 8.705 | 8.72 | 0.01403019484
10items/080 | Optimum found | 9934 | 9933.990116 | 7.353 | 9.591 | 0.01373042259
10items/094 | Optimum found | 10169 | 10168.98983 | 8.117 | 8.184 | 0.0135896923
10items/004 | Optimum found | 14066 | 14065.986 | 11.713 | 20.708 | 0.01405333634
10items/067 | Optimum found | 14114 | 14113.98591 | 12.689 | 12.951 | 0.01378031913
10items/020 | Optimum found | 15094 | 15093.98496 | 20.487 | 21.041 | 0.01395155676
10items/076 | Optimum found | 10061 | 10060.98998 | 12.093 | 12.102 | 0.01386460569
10items/103 | Optimum found | 6993 | 6992.993013 | 8.942 | 9.024 | 0.01369856764
10items/093 | Optimum found | 13246 | 13245.98679 | 8.328 | 12.047 | 0.01393828448
