INSTANCE | STATUS | UB | LB | TIME-TO-BEST | DURATION | PEAK-MEMORY
10items/425 | Unfinished | 21901 | 20104.85053 | 74.09 | 603.07 | 0.08159341197
10items/430 | Unfinished | 22069 | 20571.34195 | 64.966 | 602.355 | 0.07968043908
10items/434 | Unfinished | 18851 | 17574.23457 | 85.245 | 601.444 | 0.1139100278
10items/436 | Unfinished | 19940 | 18180.323 | 130.832 | 601.246 | 0.08750726469
10items/433 | Unfinished | 29835 | 28559.86912 | 48.308 | 601.715 | 0.1065013167
10items/426 | Unfinished | 23679 | 22003.72918 | 96.191 | 603.459 | 0.08033173345
10items/438 | Unfinished | 21472 | 19760.25887 | 125.047 | 601.245 | 0.1166423382
10items/437 | Unfinished | 21560 | 19906.58712 | 44.118 | 601.355 | 0.08574527316
10items/435 | Unfinished | 15323 | 13354.16943 | 100.966 | 602.097 | 0.0813100189
10items/440 | Unfinished | 19486 | 17944.54342 | 82.198 | 601.136 | 0.1008319352
10items/439 | Unfinished | 31115 | 29721.02002 | 51.757 | 601.885 | 0.1368337292
10items/442 | Unfinished | 17322 | 15570.55502 | 74.964 | 600.982 | 0.1026409948
10items/441 | Unfinished | 20535 | 18959.3683 | 165.931 | 603.055 | 0.1240877938
10items/443 | Unfinished | 18104 | 16583.94792 | 100.782 | 601.534 | 0.1005520932
10items/444 | Unfinished | 24426 | 22814.8553 | 123.877 | 600.738 | 0.1253038161
10items/445 | Unfinished | 18680 | 16966.876 | 180.088 | 600.819 | 0.115808405
10items/446 | Unfinished | 26291 | 24827.90836 | 146.152 | 600.705 | 0.1303355638
10items/447 | Unfinished | 22748 | 21270.72377 | 102.289 | 600.689 | 0.1183225801
10items/448 | Unfinished | 21626 | 19921.01834 | 277.329 | 602.259 | 0.1351883151
10items/449 | Unfinished | 19286 | 17920.54764 | 114.314 | 604.465 | 0.1081883777
10items/450 | Unfinished | 21082 | 19276.63699 | 196.996 | 604.607 | 0.08003080823
10items/451 | Unfinished | 26918 | 25449.64758 | 192.148 | 600.823 | 0.136645291
10items/452 | Unfinished | 19919 | 18311.20606 | 114.965 | 601.843 | 0.08001354057
10items/453 | Unfinished | 23206 | 21760.82657 | 152.097 | 601.48 | 0.08480740339
10items/454 | Unfinished | 21238 | 19406.82659 | 226.456 | 603.853 | 0.08381471783
10items/455 | Unfinished | 24283 | 22572.92125 | 209.079 | 601.655 | 0.1136094863
10items/456 | Unfinished | 18490 | 16679.85738 | 162.39 | 602.053 | 0.08260992728
10items/457 | Unfinished | 18747 | 17077.46476 | 200.499 | 601.878 | 0.1139754364
10items/458 | Unfinished | 20913 | 19455.48164 | 191.968 | 603.598 | 0.08402823843
10items/459 | Unfinished | 20116 | 18192.65598 | 62.769 | 601.615 | 0.1074434444
10items/460 | Unfinished | 20483 | 18626.24172 | 124.417 | 606.217 | 0.08310421184
10items/461 | Unfinished | 23861 | 22386.77094 | 93.478 | 601.567 | 0.1063302383
10items/468 | Unfinished | 23594 | 22205.89596 | 80.72 | 600.91 | 0.1107623084
10items/465 | Unfinished | 18832 | 17096.83567 | 99.404 | 601.653 | 0.1088676555
10items/476 | Unfinished | 23265 | 21478.09605 | 116.512 | 600.632 | 0.1134591913
10items/463 | Unfinished | 28452 | 27248.90548 | 50.033 | 602.36 | 0.08667570166
10items/464 | Unfinished | 23708 | 22387.91442 | 49.497 | 602.014 | 0.08241268154
10items/475 | Unfinished | 21305 | 19911.3851 | 108.867 | 601.299 | 0.1104624523
10items/472 | Unfinished | 22785 | 21341.3275 | 67.067 | 601.618 | 0.1202830113
10items/474 | Unfinished | 21777 | 20110.10586 | 100.677 | 601.563 | 0.1170795672
10items/467 | Unfinished | 22129 | 20444.37865 | 21.679 | 602.582 | 0.08101662342
10items/462 | Unfinished | 17741 | 15970.63691 | 17.805 | 603.474 | 0.08150997851
10items/466 | Unfinished | 21253 | 19467.10386 | 78.941 | 602.846 | 0.08133506775
10items/477 | Unfinished | 26600 | 25334.36036 | 61.349 | 602.137 | 0.1036858689
10items/479 | Unfinished | 23181 | 21614.7641 | 92.451 | 601.703 | 0.1191152344
10items/469 | Unfinished | 21508 | 19651.13252 | 211.023 | 603.397 | 0.08777162619
10items/473 | Unfinished | 18803 | 17320.20119 | 74.433 | 603.004 | 0.08234843612
10items/480 | Unfinished | 23165 | 21814.32078 | 49.311 | 601.714 | 0.08083482645
10items/470 | Unfinished | 23511 | 22472.95042 | 52.345 | 603.484 | 0.1381828608
10items/471 | Unfinished | 24014 | 22275.71464 | 119.941 | 603.648 | 0.09604373202
10items/478 | Unfinished | 19177 | 17307.81261 | 54.463 | 602.806 | 0.08236163482
10items/481 | Unfinished | 22426 | 20678.36482 | 32.54 | 601.5 | 0.09566312656
10items/482 | Unfinished | 21671 | 19865.10084 | 67.335 | 601.503 | 0.1094852034
10items/483 | Unfinished | 23738 | 22019.92017 | 65.405 | 601.191 | 0.08132316452
10items/484 | Unfinished | 19880 | 18329.32655 | 102.857 | 601.834 | 0.08798036724
10items/485 | Unfinished | 28228 | 27013.41968 | 134.322 | 601.603 | 0.08045962546
10items/486 | Unfinished | 26164 | 24824.17601 | 30.677 | 601.82 | 0.1163422894
10items/487 | Unfinished | 17932 | 16280.88578 | 179.4 | 601.493 | 0.1009523058
10items/488 | Unfinished | 18705 | 17041.92115 | 158.335 | 601.491 | 0.08348557912
10items/489 | Unfinished | 21770 | 19994.53868 | 102.886 | 601.377 | 0.0823729001
10items/490 | Unfinished | 20763 | 19211.77463 | 266.648 | 600.528 | 0.111704926
10items/491 | Unfinished | 19008 | 17101.43631 | 164.583 | 600.432 | 0.09215279296
10items/492 | Unfinished | 26712 | 25077.26815 | 229.309 | 601.042 | 0.0842315359
10items/493 | Unfinished | 23953 | 22239.50256 | 93.678 | 600.935 | 0.089191976
10items/494 | Unfinished | 22969 | 21131.65143 | 127.623 | 600.6 | 0.1562143387
10items/495 | Unfinished | 20409 | 18776.49011 | 82.208 | 600.448 | 0.07579718996
10items/496 | Unfinished | 20252 | 18625.36969 | 523.264 | 600.934 | 0.09263537452
10items/497 | Unfinished | 23082 | 21475.05144 | 101.927 | 600.632 | 0.08549163304
10items/498 | Unfinished | 23619 | 22068.32273 | 169.54 | 600.876 | 0.08609639667
10items/499 | Unfinished | 28785 | 27443.60506 | 448.353 | 600.657 | 0.1209522057
10items/500 | Unfinished | 22269 | 20804.03305 | 405.037 | 600.269 | 0.1879464947
